security_ticker,market_ticker,event_date,,
TFI FP Equity,MSCI FRANCE,6/18/2007,,
AIR FP Equity,MSCI FRANCE,7/10/2000,,
VANTI FP Equity,MSCI FRANCE,7/28/2006,,
VIV FP Equity,MSCI FRANCE,6/22/2020,,
DSY FP Equity,MSCI FRANCE,12/23/2013,,
ORA FP Equity,MSCI FRANCE,3/20/2017,,
VIE FP Equity,MSCI FRANCE,4/3/2002,,
DG FP Equity,MSCI FRANCE,8/6/2002,,
DG FP Equity,MSCI FRANCE,12/21/2000,,
RI FP Equity,MSCI FRANCE,9/24/2018,,
LOR FP Equity,MSCI FRANCE,7/2/2010,,
PUB FP Equity,MSCI FRANCE,6/19/2023,,
EL FP Equity,MSCI FRANCE,12/19/2005,,
ENGI FP Equity,MSCI FRANCE,1/3/2005,,
EDF FP Equity,MSCI FRANCE,9/1/2005,,
ALO FP Equity,MSCI FRANCE,9/20/2021,,
VK FP Equity,MSCI FRANCE,6/21/2014,,
AF FP Equity,MSCI FRANCE,12/24/2012,,
MTP FP Equity,MSCI FRANCE,6/24/2018,,
SEV FP Equity,MSCI FRANCE,9/20/2010,,
TE FP Equity,MSCI FRANCE,12/21/2015,,
EDEN FP Equity,MSCI FRANCE,11/21/2003,,
KN FP Equity,MSCI FRANCE,12/19/2011,,
PUB FP Equity,MSCI FRANCE,9/3/2007,,
SAF FP Equity,MSCI FRANCE,1/7/2016,,
LR FP Equity,MSCI FRANCE,5/4/2001,,
SOLB BB Equity,MSCI FRANCE,10/1/2004,,
GTO NA Equity,MSCI FRANCE,9/20/2010,,
ALU FP Equity,MSCI FRANCE,7/11/2003,,
FR FP Equity,MSCI FRANCE,6/18/2018,,
UG FP Equity,MSCI FRANCE,9/19/2011,,
LI FP Equity,MSCI FRANCE,9/22/2008,,
NOKIA FP Equity,MSCI FRANCE,9/24/2012,,
SW FP Equity,MSCI FRANCE,1/18/2021,,
ATO FP Equity,MSCI FRANCE,3/20/2017,,
STMPA FP Equity,MSCI FRANCE,3/21/2016,,
RMS FP Equity,MSCI FRANCE,9/21/2009,,
HO FP Equity,MSCI FRANCE,6/22/2020,,
DSY FP Equity,MSCI FRANCE,5/10/2000,,
WLN FP Equity,MSCI FRANCE,3/21/2015,,
WLN FP Equity,MSCI FRANCE,8/23/2000,,
ALO FP Equity,MSCI FRANCE,8/8/2001,,
TEP FP Equity,MSCI FRANCE,12/11/2000,,
STLAP FP Equity,MSCI FRANCE,12/18/2023,,
ERF FP Equity,MSCI FRANCE,12/18/2006,,
EDEN FP Equity,MSCI FRANCE,5/3/2019,,
VIV FP Equity,MSCI FRANCE,3/23/2020,,
